model_name,mode,camera,fusion_method,threshold_percentile,input_dim,train_count,test_count,test_correct_count,test_anomaly_count,threshold,dropout,weight_decay,best_epoch,best_val_loss,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,flagged_as_anomaly,total_test
small_dropout01,single_camera,C10095,,70,4064,626,839,626,213,0.18407483398914337,0.1,0.0001,103,0.160607276638602,0.899880810488677,0.7841409691629956,0.8356807511737089,0.8090909090909091,0.9571689990850321,577,49,35,178,0.07827476038338659,0.1643192488262911,227,839
small_dropout01,single_camera,C10095,,75,4064,626,839,626,213,0.19477291405200958,0.1,0.0001,103,0.160607276638602,0.8986889153754469,0.8076923076923077,0.7887323943661971,0.7980997624703088,0.9571689990850321,586,40,45,168,0.06389776357827476,0.2112676056338028,208,839
small_dropout01,single_camera,C10095,,80,4064,626,839,626,213,0.20485524833202362,0.1,0.0001,103,0.160607276638602,0.9034564958283671,0.8367346938775511,0.7699530516431925,0.8019559902200489,0.9571689990850321,594,32,49,164,0.051118210862619806,0.2300469483568075,196,839
small_dropout01,single_camera,C10095,,85,4064,626,839,626,213,0.23447181284427643,0.1,0.0001,103,0.160607276638602,0.8855780691299165,0.8545454545454545,0.6619718309859155,0.746031746031746,0.9571689990850321,602,24,72,141,0.038338658146964855,0.3380281690140845,165,839
small_dropout01,single_camera,C10095,,90,4064,626,839,626,213,0.2656237483024597,0.1,0.0001,103,0.160607276638602,0.8641239570917759,0.8778625954198473,0.539906103286385,0.6686046511627907,0.9571689990850321,610,16,98,115,0.025559105431309903,0.460093896713615,131,839
small_dropout01,single_camera,C10118,,70,4064,626,839,626,213,0.2156316339969635,0.1,0.0001,120,0.1861532844935253,0.8784266984505363,0.7707317073170732,0.7417840375586855,0.7559808612440191,0.9398071067512638,579,47,55,158,0.07507987220447285,0.25821596244131456,205,839
small_dropout01,single_camera,C10118,,75,4064,626,839,626,213,0.23124322295188904,0.1,0.0001,120,0.1861532844935253,0.866507747318236,0.7821229050279329,0.6572769953051644,0.7142857142857143,0.9398071067512638,587,39,73,140,0.06230031948881789,0.3427230046948357,179,839
small_dropout01,single_camera,C10118,,80,4064,626,839,626,213,0.2569081783294678,0.1,0.0001,120,0.1861532844935253,0.8450536352800954,0.782312925170068,0.539906103286385,0.6388888888888888,0.9398071067512638,594,32,98,115,0.051118210862619806,0.460093896713615,147,839
small_dropout01,single_camera,C10118,,85,4064,626,839,626,213,0.291291743516922,0.1,0.0001,120,0.1861532844935253,0.8259833134684148,0.7913043478260869,0.4272300469483568,0.5548780487804879,0.9398071067512638,602,24,122,91,0.038338658146964855,0.5727699530516432,115,839
small_dropout01,single_camera,C10118,,90,4064,626,839,626,213,0.3295411467552185,0.1,0.0001,120,0.1861532844935253,0.7949940405244339,0.7808219178082192,0.2676056338028169,0.3986013986013986,0.9398071067512638,610,16,156,57,0.025559105431309903,0.7323943661971831,73,839
small_dropout01,single_camera,C10119,,70,4064,626,839,626,213,0.18209995329380035,0.1,0.0001,140,0.15621631682678394,0.8939213349225268,0.7844036697247706,0.8028169014084507,0.7935034802784223,0.9428295009674662,579,47,42,171,0.07507987220447285,0.19718309859154928,218,839
small_dropout01,single_camera,C10119,,75,4064,626,839,626,213,0.20248067378997803,0.1,0.0001,140,0.15621631682678394,0.8772348033373063,0.7925531914893617,0.6995305164319249,0.743142144638404,0.9428295009674662,587,39,64,149,0.06230031948881789,0.3004694835680751,188,839
small_dropout01,single_camera,C10119,,80,4064,626,839,626,213,0.220675989985466,0.1,0.0001,140,0.15621631682678394,0.8629320619785459,0.8024691358024691,0.6103286384976526,0.6933333333333334,0.9428295009674662,594,32,83,130,0.051118210862619806,0.38967136150234744,162,839
small_dropout01,single_camera,C10119,,85,4064,626,839,626,213,0.23694682121276855,0.1,0.0001,140,0.15621631682678394,0.8498212157330155,0.8222222222222222,0.5211267605633803,0.6379310344827587,0.9428295009674662,602,24,102,111,0.038338658146964855,0.4788732394366197,135,839
small_dropout01,single_camera,C10119,,90,4064,626,839,626,213,0.27693697810173035,0.1,0.0001,140,0.15621631682678394,0.8045292014302742,0.8024691358024691,0.3051643192488263,0.4421768707482993,0.9428295009674662,610,16,148,65,0.025559105431309903,0.6948356807511737,81,839
small_dropout01,single_camera,C10390,,70,4064,626,839,626,213,0.1666504442691803,0.1,0.0001,150,0.1499891062830664,0.8927294398092968,0.7808219178082192,0.8028169014084507,0.7916666666666666,0.9511167109151181,578,48,42,171,0.07667731629392971,0.19718309859154928,219,839
small_dropout01,single_camera,C10390,,75,4064,626,839,626,213,0.18772968649864197,0.1,0.0001,150,0.1499891062830664,0.8855780691299165,0.8,0.7323943661971831,0.7647058823529411,0.9511167109151181,587,39,57,156,0.06230031948881789,0.2676056338028169,195,839
small_dropout01,single_camera,C10390,,80,4064,626,839,626,213,0.20022612810134888,0.1,0.0001,150,0.1499891062830664,0.8772348033373063,0.8160919540229885,0.6666666666666666,0.7338501291989664,0.9511167109151181,594,32,71,142,0.051118210862619806,0.3333333333333333,174,839
